"icao","iata","name","city","subd","country","elevation","lat","lon","tz","lid"
"00AA","","Aero B Ranch Airport","Leoti","Kansas","US",3435,38.704022,-101.473911,"America/Chicago","00AA"
"00AK","","Lowell Field","Anchor Point","Alaska","US",252,59.948889,-151.692222,"America/Anchorage","00AK"
"00AL","","Epps Airpark","Harvest","Alabama","US",820,34.86481,-86.770278,"America/Chicago","00AL"
"00AN","","Katmai Lodge Airport","King Salmon","Alaska","US",80,59.093472,-156.455833,"America/Anchorage","00AN"
"00AR","","Arland Airport","Bennington","Kansas","US",1352,38.969651,-97.601557,"America/Chicago","00AR"
"00AS","","Fulton Airport","Alex","Oklahoma","US",1100,34.942803,-97.818019,"America/Chicago","00AS"
"00CA","","Goldstone /Gts/ Airport","Barstow","California","US",3038,35.354972,-116.885208,"America/Los_Angeles","00CA"
"00CL","","Williams Ag Airport","Biggs","California","US",87,39.427189,-121.763428,"America/Los_Angeles","00CL"
"00FA","","Grass Patch Airport","Bushnell","Florida","US",53,28.645547,-82.218975,"America/New_York","00FA"
"00FL","","River Oak Airport","Okeechobee","Florida","US",35,27.23088,-80.969231,"America/New_York","00FL"
"00GA","","Lt World Airport","Lithonia","Georgia","US",700,33.7675,-84.068333,"America/New_York","00GA"
"00ID","","Delta Shores Airport","Clark Fork","Idaho","US",2064,48.145278,-116.214444,"America/Los_Angeles","00ID"
"00IG","","Goltl Airport","Mcdonald","Kansas","US",3359,39.724028,-101.395994,"America/Chicago","00IG"
"00IL","","Hammer Airport","Polo","Illinois","US",840,41.978363,-89.560388,"America/Chicago","00IL"
"00IS","","Hayenga's Cant Find Farms Airport","Kings","Illinois","US",820,40.025595,-89.122865,"America/Chicago","00IS"
"00KS","","Hayden Farm Airport","Gardner","Kansas","US",1100,38.727787,-94.93052,"America/Chicago","00KS"
"00KY","","Robbins Roost Airport","Stanford","Kentucky","US",1265,37.409444,-84.619722,"America/New_York","00KY"
"00LS","","Lejeune Airport","Esterwood","Louisiana","US",12,30.136278,-92.429361,"America/Chicago","00LS"
"00MN","","Battle Lake Municipal Airport","Battle Lake","Minnesota","US",1365,46.29996,-95.700324,"America/Chicago","00MN"
"00NC","","North Raleigh Airport","Louisburg","North Carolina","US",348,36.08515,-78.371386,"America/New_York","00NC"
"00NY","","Weiss Airfield","West Bloomfield","New York","US",1000,42.895861,-77.495161,"America/New_York","00NY"
"00OK","","Gull Bay Landing Airport","Sandsprings","Oklahoma","US",960,36.198918,-96.217682,"America/Chicago","00OK"
"00PN","","Ferrell Field","Mercer","Pennsylvania","US",1301,41.2995,-80.211111,"America/New_York","00PN"
"00SC","","Flying O Airport","Sumter","South Carolina","US",150,34.009444,-80.267222,"America/New_York","00SC"
"00SD","","Homan Field","Gary","South Dakota","US",1590,44.809158,-96.498897,"America/Chicago","00SD"
"00TN","","Thompson Farms Airport","Lebanon","Tennessee","US",675,36.120451,-86.359532,"America/Chicago","00TN"
"00TS","","Alpine Range Airport","Everman","Texas","US",670,32.607939,-97.242322,"America/Chicago","00TS"
"00TT","","Nowhere Airport","Goodlett","Texas","US",1752,34.516606,-99.936941,"America/Chicago","00TT"
"00TX","","Delva Field","Van","Texas","US",545,32.544452,-95.67313,"America/Chicago","00TX"
"00VA","","Vaughan Airport","Alton","Virginia","US",551,36.576,-78.999167,"America/New_York","00VA"
"00VI","","Groundhog Mountain Airport","Hillsville","Virginia","US",2680,36.663333,-80.4995,"America/New_York","00VI"
"00WA","","Howell Airport","Longbranch","Washington","US",150,47.178431,-122.7718,"America/Los_Angeles","00WA"
"00WI","","Northern Lite Airport","Waupaca","Wisconsin","US",860,44.304285,-89.050114,"America/Chicago","00WI"
"00WN","","Hawks Run Airport","Asotin","Washington","US",2900,46.25,-117.249,"America/Los_Angeles","00WN"
"00WV","","Lazy J Aerodrome","Beverly","West Virginia","US",2060,38.828889,-79.866111,"America/New_York","00WV"
"00XA","","Weeski Ranch Airport","Hempstead","Texas","US",271,30.224038,-96.014153,"America/Chicago","00XA"
"01AL","","Ware Island Airport","Clanton","Alabama","US",344,32.945956,-86.513868,"America/Chicago","01AL"
"01AN","","Mc Hone Heights Airport","Wasilla","Alaska","US",610,61.649028,-149.339028,"America/Anchorage","01AN"
"01CL","","Swansboro Country Airport","Placerville","California","US",2594,38.799902,-120.734376,"America/Los_Angeles","01CL"
"01CN","","Coleman Homestead Airport","Talkeetna","Alaska","US",282,62.106982,-150.109299,"America/Anchorage","01CN"
"01FA","","Rybolt Ranch Airport","Orlando","Florida","US",55,28.589444,-81.14423,"America/New_York","01FA"
"01FL","","Cedar Knoll Flying Ranch Airport","Geneva","Florida","US",19,28.781936,-81.159228,"America/New_York","01FL"
"01GE","","The Farm Airport","Wrightsville","Georgia","US",369,32.675151,-82.770995,"America/New_York","01GE"
"01ID","","Lava Hot Springs Airpark","Lava Hot Springs","Idaho","US",5300,42.608002,-112.033079,"America/Boise","01ID"
"01LA","","Barham Airport","Oak Ridge","Louisiana","US",90,32.639027,-91.773736,"America/Chicago","01LA"
"01MT","","Crystal Lakes Resort Airport","Fortine","Montana","US",3141,48.789132,-114.880436,"America/Denver","01MT"
"01NC","","Topsail Airpark","Holly Ridge","North Carolina","US",65,34.475278,-77.581389,"America/New_York","01NC"
"01NH","","Moore Airfield","Canaan","New Hampshire","US",835,43.644517,-72.087031,"America/New_York","01NH"
"01NK","","Granville Airport","Granville","New York","US",421,43.422944,-73.268025,"America/New_York","01NK"
"01NM","","Champion Ranch Airport","Artesia","New Mexico","US",3630,33.008611,-104.540278,"America/Denver","01NM"
"01NV","","Lantana Ranch Airport","Yerington","Nevada","US",4600,38.763889,-119.027222,"America/Los_Angeles","01NV"
"01OL","","Spring Creek Ranch East Airport","Tishomingo","Oklahoma","US",1060,34.37257,-96.716037,"America/Chicago","01OL"
"01PA","","Powell Kaiser Airport","Bolivar","Pennsylvania","US",1500,40.362486,-79.165481,"America/New_York","01PA"
"01PS","","Nort's Resort Airport","Meshoppen","Pennsylvania","US",1040,41.595908,-76.029644,"America/New_York","01PS"
